1573997558249,Mass Air Flow,2.16
1573997558416,Vehicle Speed,50
1573997558592,Mass Air Flow,2.16
1573997558768,Vehicle Speed,50
1573997558943,Mass Air Flow,2.14
1573997559121,Vehicle Speed,50
1573997559295,Mass Air Flow,2.08
1573997559440,Vehicle Speed,49
1573997559650,Mass Air Flow,2.1
1573997559828,Vehicle Speed,49
1573997559996,Mass Air Flow,2.2
1573997560151,Vehicle Speed,47
1573997560306,Mass Air Flow,2.18
1573997560464,Vehicle Speed,47
1573997560640,Mass Air Flow,2.12
1573997560814,Vehicle Speed,43
1573997560992,Mass Air Flow,3.74
1573997561197,Vehicle Speed,43
1573997561364,Mass Air Flow,3.74
1573997561519,Vehicle Speed,38
1573997561696,Mass Air Flow,3.92
1573997561872,Vehicle Speed,38
1573997562048,Mass Air Flow,3.72
1573997562219,Vehicle Speed,35
1573997562389,Mass Air Flow,3.68
1573997562538,Vehicle Speed,35
1573997562737,Mass Air Flow,3.7
1573997562938,Vehicle Speed,33
1573997563115,Mass Air Flow,5.84
1573997563270,Vehicle Speed,33
1573997563424,Mass Air Flow,15.94
1573997563594,Vehicle Speed,33
1573997563773,Mass Air Flow,17.8
1573997563945,Vehicle Speed,33
1573997564122,Mass Air Flow,7.64
1573997564334,Vehicle Speed,34
1573997564534,Mass Air Flow,5.86
1573997564716,Vehicle Speed,34
1573997564892,Mass Air Flow,4.76
1573997565069,Vehicle Speed,35
1573997565236,Mass Air Flow,4.16
1573997565398,Vehicle Speed,35
1573997565586,Mass Air Flow,4.24
1573997565759,Vehicle Speed,35
1573997565992,Mass Air Flow,4.02
1573997566171,Vehicle Speed,35
1573997566324,Mass Air Flow,3.9
1573997566480,Vehicle Speed,33
1573997566658,Mass Air Flow,3.88
1573997566825,Vehicle Speed,33
1573997567003,Mass Air Flow,3.26
1573997567171,Vehicle Speed,31
1573997567320,Mass Air Flow,2.56
1573997567475,Vehicle Speed,31
1573997567662,Mass Air Flow,2.24
1573997567837,Vehicle Speed,31
1573997568012,Mass Air Flow,2.1
1573997568197,Vehicle Speed,31
1573997568346,Mass Air Flow,2.12
1573997568498,Vehicle Speed,32
1573997568676,Mass Air Flow,2.1
1573997568848,Vehicle Speed,32
1573997569024,Mass Air Flow,2.12
1573997569208,Vehicle Speed,32
